produto,total_vendas,receita_total
AGUA SANITARIA CANDURA 5L,58724.0,668669.56
LIMPADOR PERFUMADO CASA E PERFUME AGRADABLE 1L,63716.0,667135.93
SABAO EM PO GIRANDO SOL OPTICAL WASH ROSA FLORAL 800G,89812.2,666652.73
LIMPEZA PESADA VEJA X-14 CLORO ATIVO 2 EM 1 20%DESC 500ML,55550.0,659801.13
SABAO EM PO GIRANDO SOL OPTICAL WASH ROSA FLORAL 1.6KG,50050.0,656633.59
"AMACIANTE DILUIDO SONHO MAGIC GARRAFA LV2L PG1,8L",61292.0,654143.5
AMACIANTE DILUIDO GIRANDO SOL ROSA 5L,35308.0,649890.61
SABAO LIQUIDO UAU ROSAS E SEDUCAO 800ML,65184.995,644092.15
SABAO EM PO URCA CONCENTRADO SACHE 800G,109125.0,643529.45
DETERGENTE LIQUIDO LIMPOL LAVANDA 500ML,260203.194,643294.62
AMACIANTE CONCENTRADO DOWNY BRISA SUAVE 450+50ML 500ML,55561.0,640050.18
"AMACIANTE CONCENTRADO COMFORT INTENSE CUID ESSENCIAL 1,5L",21513.0,639560.84
AMACIANTE DILUIDO AQUAFAST FRESCOR DA MANHA 5L,44230.8,635196.42
SABAO LIQUIDO OMO ACAO TOTAL 750ML,35018.0,634599.06
"SABAO EM PO MINUANO CONCENTRADO MX  LIMP 1,6KG",36368.0,632453.75
LIMPADOR PERFUMADO CASA E PERFUME AGRADABLE 500ML,112183.0,632183.42
AMACIANTE DILUIDO URCA BRISA PRIMAVERA 2L,85580.0,631367.96
SABAO EM PO OMO L800P600 800G,44828.0,631101.46
ARIEL LAVA ROUPAS LIQ CLASSICO REFIL SC 700ML,43787.0,630356.73
DESINFETANTE UAU ANTIBAC FLORES DE PRIMAVERA 2L,63965.0,627477.77
SABAO LIQUIDO VIDA MACIA 500ML,45871.0,625606.62
DESINFETANTE PINHO SOL LAVANDA 500ML,67044.927,624857.09
SABAO LIQUIDO GIRANDO SOL HIPOALERGENICO 2L,31895.5,624780.23
SABAO LIQUIDO AQUAFAST GLICERINA 3L,28023.0,619976.19
LIMPEZA PESADA AJAX FRESH LEMON LUMINOL CM 500ML,59812.0,616026.5
SABAO EM PO BEM TE VI PERFUME DAS FLORES 400G,203918.5,607203.68
"SABAO EM PO ACE ROUPAS BRANCAS 2,2KG",31549.0,605876.13
SABAO EM PO SURF 5EM1 LIMAO E BICARBONATO PCT 800G,63394.0,599662.31
DESENGORDURANTE DIABO VERDE LIMPA FORNO 250G,35362.375,595291.33
SABAO EM PO AMACITEL TOQUE DE POESIA 1.6KG,50063.0,594132.12
SABAO EM PO ASSIM MICELAR TRIPLACAO CX 800G,67041.0,593141.0
LIMPADOR PERFUMADO UAU CHA BRANCO 500ML,111595.0,589137.68
LIMPADOR MULTIUSO PERFUMADO UAU CHA BRANCO 480ML,121225.0,587178.25
SABAO EM PO BRILHANTE LIMPEZA TOTAL PCT TAM FAM 4KG,16287.0,586859.47
SABAO EM PO OMO CLINICAL PRO 4KG,10632.0,583379.1
SABAO LIQUIDO GIRANDO SOL COCO 3L,22591.5,582457.14
SABAO LIQUIDO OMO CICLO RAPIDO ACAO ANTIODOR FC 750ML,31794.0,579516.3
DESINFETANTE LYSOFORM LAVANDA 1L,34974.0,578827.81
AMACIANTE DILUIDO AMACITEL TOQUE DE POESIA 2L,57301.0,578649.95
SABAO EM PO TIXAN YPE PRIMAVERA 1.7KG,35850.0,577124.95
"LIMPADOR PERFUMADO UAU LAVANDA E CONFORTO PROMO20% 1,8L",49601.0,575793.48
AGUA SANITARIA ACTUALY 5L,61125.0,571618.17
SABAO EM PO TIXAN YPE PROFISSIONAL PRIMAVERA SC 8KG,6685.0,570046.2
SABAO EM PO BRILHANTE HIGIENE TOTAL 800G,47594.0,569414.5
DESINFETANTE PINHO BRIL SILVESTRE PLUS 1L,47935.0,565263.4
LIMPADOR ESSENCIA COALA ALGODAO 120ML,39995.0,563258.86
TIRA MANCHA VANISH SUPER BARRA S/CLORO WHITE 75G,64409.0,558729.88
SABAO EM PO OMO PURO CUIDADO 2.2KG,16764.0,557782.63
"SABAO EM PO BABY SOFT CONCENTRADO SACHE 1,6KG",50385.0,556714.1
SABAO EM PO AMACITEL ALEGRES ENCANTOS 1.6KG,47216.0,556460.26
AGUA SANITARIA DRAGAO 2L,114682.0,548279.71
SABAO EM PO TIXAN YPE PRIMAVERA SC LV800G PG720G,51206.0,546323.62
LIMPADOR PERFUMADO UAU REQUINTE PROMO20% 1L,63790.0,545068.34
LIMPADOR ESSENCIA COALA CITRONELA 120ML,37652.0,543696.52
LIMPEZA PESADA PEDREX LIMPA PEDRAS 2L,23803.295,539155.89
SABAO LIQUIDO GUIMARAES MIL FLORES AZUL 5L,21484.0,537470.95
SABAO LIQUIDO GIRANDO SOL GLICERINA 3L,21674.0,537068.33
